"ns","lu.from","lu.to","value"
"13759","Forest","Cropland",0
"13760","Forest","Cropland",0
"13761","Forest","Cropland",0
"13762","Forest","Cropland",0
"13763","Forest","Cropland",0
"13764","Forest","Cropland",0
"13765","Forest","Cropland",0
"13766","Forest","Cropland",0
"13767","Forest","Cropland",0
"13768","Forest","Cropland",0
"13769","Forest","Cropland",0
"13770","Forest","Cropland",0
"13771","Forest","Cropland",0
"13803","Forest","Cropland",0
"13805","Forest","Cropland",0
"13806","Forest","Cropland",0
"13807","Forest","Cropland",0
"13808","Forest","Cropland",0
"13809","Forest","Cropland",0
"13811","Forest","Cropland",0
"13812","Forest","Cropland",0
"13813","Forest","Cropland",0
"13814","Forest","Cropland",0
"13815","Forest","Cropland",0
"13816","Forest","Cropland",0
"13817","Forest","Cropland",0
"13818","Forest","Cropland",0
"13819","Forest","Cropland",0
"13820","Forest","Cropland",0
"13821","Forest","Cropland",0
"13822","Forest","Cropland",0
"13823","Forest","Cropland",0
"13862","Forest","Cropland",0
"13864","Forest","Cropland",0
"13866","Forest","Cropland",0
"13867","Forest","Cropland",0
"13869","Forest","Cropland",0
"13871","Forest","Cropland",0
"13873","Forest","Cropland",0
"13874","Forest","Cropland",0
"13875","Forest","Cropland",0
"13876","Forest","Cropland",0
"13877","Forest","Cropland",0
"13879","Forest","Cropland",0
"13881","Forest","Cropland",0
"13883","Forest","Cropland",0
"13885","Forest","Cropland",0
"13887","Forest","Cropland",0
"13888","Forest","Cropland",0
"13889","Forest","Cropland",0
"13890","Forest","Cropland",0
"13891","Forest","Cropland",0
"13892","Forest","Cropland",0
"13893","Forest","Cropland",0
"13932","Forest","Cropland",0
"13934","Forest","Cropland",0
"13936","Forest","Cropland",0
"13937","Forest","Cropland",0
"13939","Forest","Cropland",0
"13940","Forest","Cropland",0
"13941","Forest","Cropland",0
"13942","Forest","Cropland",0
"13943","Forest","Cropland",0
"13945","Forest","Cropland",0
"13948","Forest","Cropland",0
"13949","Forest","Cropland",0
"13950","Forest","Cropland",0
"13951","Forest","Cropland",0
"13952","Forest","Cropland",0
"13953","Forest","Cropland",0
"13954","Forest","Cropland",0
"13990","Forest","Cropland",0
"13992","Forest","Cropland",0
"13993","Forest","Cropland",0
"13994","Forest","Cropland",0
"13995","Forest","Cropland",0
"13996","Forest","Cropland",0
"13997","Forest","Cropland",0
"13998","Forest","Cropland",0
"13999","Forest","Cropland",0
"14000","Forest","Cropland",0
"14001","Forest","Cropland",0
"14002","Forest","Cropland",0
"14003","Forest","Cropland",0
"14040","Forest","Cropland",0
"14042","Forest","Cropland",0
"14043","Forest","Cropland",0
"14044","Forest","Cropland",0
"14045","Forest","Cropland",0
"14046","Forest","Cropland",0
"14047","Forest","Cropland",0
"14048","Forest","Cropland",0
"14087","Forest","Cropland",0
"14089","Forest","Cropland",0
"14091","Forest","Cropland",0
"14092","Forest","Cropland",0
"14125","Forest","Cropland",0
"39002","Forest","Cropland",0
"39004","Forest","Cropland",0
"39057","Forest","Cropland",0
"39058","Forest","Cropland",0
"39111","Forest","Cropland",0
"39561","Forest","Cropland",0
"39562","Forest","Cropland",0
"39563","Forest","Cropland",0
"39611","Forest","Cropland",0
"39612","Forest","Cropland",0
"39613","Forest","Cropland",0
"39614","Forest","Cropland",0
"39615","Forest","Cropland",0
"39616","Forest","Cropland",0
"39617","Forest","Cropland",0
"39668","Forest","Cropland",0
"39669","Forest","Cropland",0
"39670","Forest","Cropland",0
"39671","Forest","Cropland",0
"39672","Forest","Cropland",0
"39673","Forest","Cropland",0
"39674","Forest","Cropland",0
"39727","Forest","Cropland",0
"39728","Forest","Cropland",0
"39729","Forest","Cropland",0
"39730","Forest","Cropland",0
"39731","Forest","Cropland",0
"39732","Forest","Cropland",0
"39733","Forest","Cropland",0
"39734","Forest","Cropland",0
"39735","Forest","Cropland",0
"39736","Forest","Cropland",0
"39737","Forest","Cropland",0
"39789","Forest","Cropland",0
"39790","Forest","Cropland",0
"39791","Forest","Cropland",0
"39792","Forest","Cropland",0
"39793","Forest","Cropland",0
"39794","Forest","Cropland",0
"39795","Forest","Cropland",0
"39796","Forest","Cropland",0
"39797","Forest","Cropland",0
"39798","Forest","Cropland",0
"39799","Forest","Cropland",0
"39800","Forest","Cropland",0
"39801","Forest","Cropland",0
"39802","Forest","Cropland",0
"39851","Forest","Cropland",0
"39852","Forest","Cropland",0
"39853","Forest","Cropland",0
"39854","Forest","Cropland",0
"39855","Forest","Cropland",0
"39856","Forest","Cropland",0
"39857","Forest","Cropland",0
"39858","Forest","Cropland",0
"39859","Forest","Cropland",0
"39860","Forest","Cropland",0
"39861","Forest","Cropland",0
"39862","Forest","Cropland",0
"39863","Forest","Cropland",0
"39864","Forest","Cropland",0
"39865","Forest","Cropland",0
"39866","Forest","Cropland",0
"39918","Forest","Cropland",0
"39919","Forest","Cropland",0
"39920","Forest","Cropland",0
"39921","Forest","Cropland",0
"39922","Forest","Cropland",0
"39923","Forest","Cropland",0
"39924","Forest","Cropland",0
"39925","Forest","Cropland",0
"39926","Forest","Cropland",0
"39927","Forest","Cropland",0
"39928","Forest","Cropland",0
"39929","Forest","Cropland",0
"39930","Forest","Cropland",0
"39931","Forest","Cropland",0
"39932","Forest","Cropland",0
"39933","Forest","Cropland",0
"39934","Forest","Cropland",0
"39935","Forest","Cropland",0
"39936","Forest","Cropland",0
"39981","Forest","Cropland",0
"39982","Forest","Cropland",0
"39983","Forest","Cropland",0
"39984","Forest","Cropland",0
"39985","Forest","Cropland",0
"39986","Forest","Cropland",0
"39987","Forest","Cropland",0
"39988","Forest","Cropland",0
"39989","Forest","Cropland",0
"39990","Forest","Cropland",0
"39991","Forest","Cropland",0
"39992","Forest","Cropland",0
"39993","Forest","Cropland",0
"39994","Forest","Cropland",0
"39995","Forest","Cropland",0
"39996","Forest","Cropland",0
"39997","Forest","Cropland",0
"39998","Forest","Cropland",0
"39999","Forest","Cropland",0
"40000","Forest","Cropland",0
"40001","Forest","Cropland",0
"40047","Forest","Cropland",0
"40048","Forest","Cropland",0
"40049","Forest","Cropland",0
"40050","Forest","Cropland",0
"40051","Forest","Cropland",0
"40052","Forest","Cropland",0
"40053","Forest","Cropland",0
"40054","Forest","Cropland",0
"40055","Forest","Cropland",0
"40056","Forest","Cropland",0
"40057","Forest","Cropland",0
"40058","Forest","Cropland",0
"40059","Forest","Cropland",0
"40060","Forest","Cropland",0
"40061","Forest","Cropland",0
"40062","Forest","Cropland",0
"40063","Forest","Cropland",0
"40064","Forest","Cropland",0
"40065","Forest","Cropland",0
"40066","Forest","Cropland",0
"40121","Forest","Cropland",0
"40123","Forest","Cropland",0
"40124","Forest","Cropland",0
"40125","Forest","Cropland",0
"40126","Forest","Cropland",0
"40127","Forest","Cropland",0
"40128","Forest","Cropland",0
"40129","Forest","Cropland",0
"40130","Forest","Cropland",0
"40131","Forest","Cropland",0
"40133","Forest","Cropland",0
"40135","Forest","Cropland",0
"40137","Forest","Cropland",0
"40141","Forest","Cropland",0
"40142","Forest","Cropland",0
"40143","Forest","Cropland",0
"40144","Forest","Cropland",0
"40145","Forest","Cropland",0
"40207","Forest","Cropland",0
"40209","Forest","Cropland",0
"40210","Forest","Cropland",0
"40211","Forest","Cropland",0
"40212","Forest","Cropland",0
"40213","Forest","Cropland",0
"40216","Forest","Cropland",0
"40225","Forest","Cropland",0
"40226","Forest","Cropland",0
"40227","Forest","Cropland",0
"40228","Forest","Cropland",0
"40229","Forest","Cropland",0
"40293","Forest","Cropland",0
"40294","Forest","Cropland",0
"40295","Forest","Cropland",0
"40296","Forest","Cropland",0
"40308","Forest","Cropland",0
"40364","Forest","Cropland",0
"40365","Forest","Cropland",0
"40367","Forest","Cropland",0
"40438","Forest","Cropland",0
"40439","Forest","Cropland",0
"40440","Forest","Cropland",0
"40442","Forest","Cropland",0
"40511","Forest","Cropland",0
"40513","Forest","Cropland",0
"40514","Forest","Cropland",0
"40576","Forest","Cropland",0
"40578","Forest","Cropland",0
"40579","Forest","Cropland",0
"40581","Forest","Cropland",0
"40644","Forest","Cropland",0
"40647","Forest","Cropland",0
"40649","Forest","Cropland",0
"40651","Forest","Cropland",0
"40652","Forest","Cropland",0
"40715","Forest","Cropland",0
"40717","Forest","Cropland",0
"47302","Forest","Cropland",0
"47303","Forest","Cropland",0
"47320","Forest","Cropland",1
"47321","Forest","Cropland",0
"47350","Forest","Cropland",0
"47353","Forest","Cropland",0
"47370","Forest","Cropland",1
"47384","Forest","Cropland",0
"47405","Forest","Cropland",1
"47429","Forest","Cropland",1
"47430","Forest","Cropland",0
"47431","Forest","Cropland",1
"47454","Forest","Cropland",1
"47455","Forest","Cropland",1
"47456","Forest","Cropland",0
"47476","Forest","Cropland",1
"47477","Forest","Cropland",1
"47478","Forest","Cropland",0
"47480","Forest","Cropland",0
"47482","Forest","Cropland",0
"47485","Forest","Cropland",0
"47498","Forest","Cropland",0
"47499","Forest","Cropland",1
"47500","Forest","Cropland",1
"47501","Forest","Cropland",1
"47502","Forest","Cropland",0
"47503","Forest","Cropland",0
"47504","Forest","Cropland",0
"47519","Forest","Cropland",1
"47520","Forest","Cropland",1
"47521","Forest","Cropland",0
"47522","Forest","Cropland",0
"47523","Forest","Cropland",0
"47532","Forest","Cropland",1
"47533","Forest","Cropland",0
"47534","Forest","Cropland",0
"47541","Forest","Cropland",0
"47542","Forest","Cropland",0
"47550","Forest","Cropland",0
"47556","Forest","Cropland",1
"47587","Forest","Cropland",1
"47607","Forest","Cropland",0
"47615","Forest","Cropland",1
"47621","Forest","Cropland",0
"47626","Forest","Cropland",0
"47627","Forest","Cropland",0
"47635","Forest","Cropland",0
"47642","Forest","Cropland",0
"47643","Forest","Cropland",0
"47649","Forest","Cropland",0
"47650","Forest","Cropland",0
"47655","Forest","Cropland",0
"47659","Forest","Cropland",0
"51884","Forest","Cropland",0
"51890","Forest","Cropland",0
"51898","Forest","Cropland",0
"51902","Forest","Cropland",0
"51909","Forest","Cropland",0
"51914","Forest","Cropland",0
"52855","Forest","Cropland",1
