"ns","times","ks","value"
"1049","2020","totPop",120.464449185187
"1049","2020","ruralPop",0.0220766475596229
"1049","2030","totPop",127.083226356705
"1049","2030","ruralPop",0.0112722901785629
"1049","2040","totPop",132.176638740684
"1049","2040","ruralPop",0.00654789468788525
"1049","2050","totPop",135.273802326979
"1049","2050","ruralPop",0.00154432185820083
"1049","2060","totPop",136.215550006091
"1049","2060","ruralPop",0.00146061333777729
"1049","2070","totPop",135.631934971808
"1049","2070","ruralPop",0.0012713448025248
"1049","2080","totPop",133.317349930795
"1049","2080","ruralPop",0.00126850308074698
"1049","2090","totPop",130.369404376302
"1049","2090","ruralPop",0.00124631494063868
"1049","2100","totPop",126.87100194604
"1049","2100","ruralPop",0.00128072540191628
"1075","2000","totPop",101.455016073178
"1075","2000","ruralPop",1
"1075","2010","totPop",71.5080606613604
"1075","2010","ruralPop",0.18057703267976
"1075","2020","totPop",75.4719765237011
"1075","2020","ruralPop",0.181565989340837
"1075","2030","totPop",78.4360888711019
"1075","2030","ruralPop",0.156829224297472
"1075","2040","totPop",80.2780729888543
"1075","2040","ruralPop",0.152644685057596
"1075","2050","totPop",81.1249616252262
"1075","2050","ruralPop",0.017514857722999
"1075","2060","totPop",80.8567803872589
"1075","2060","ruralPop",0.00709901683788361
"1075","2070","totPop",79.896972280696
"1075","2070","ruralPop",0.00686040608189042
"1075","2080","totPop",77.7844535341307
"1075","2080","ruralPop",0.00695599212384267
"1075","2090","totPop",75.6366479781077
"1075","2090","ruralPop",0.00656257301645001
"1075","2100","totPop",73.2794727351279
"1075","2100","ruralPop",0.000770462543774987
"1100","2000","totPop",1076.47380643024
"1100","2000","ruralPop",0.682057941754675
"1100","2010","totPop",1034.10013757988
"1100","2010","ruralPop",0.00284725949946022
"1100","2020","totPop",1107.9526942816
"1100","2020","ruralPop",0.00108201296396667
"1100","2030","totPop",1167.24816205498
"1100","2030","ruralPop",0.000998831327885192
"1100","2040","totPop",1211.83499100994
"1100","2040","ruralPop",0.000619647403936886
"1100","2050","totPop",1238.06412389348
"1100","2050","ruralPop",0.000569274110969507
"1100","2060","totPop",1245.54027562133
"1100","2060","ruralPop",0.000549993985184059
"1100","2070","totPop",1238.24190331128
"1100","2070","ruralPop",4.78761616804249e-05
"1100","2080","totPop",1216.96618053406
"1100","2080","ruralPop",4.33004224342577e-05
"1100","2090","totPop",1188.51069340554
"1100","2090","ruralPop",4.43375076770743e-05
"1100","2100","totPop",1155.93180086225
"1100","2100","ruralPop",4.55871202382749e-05
"1121","2000","totPop",339.428854152041
"1121","2000","ruralPop",0.554002314871065
"1121","2010","totPop",356.263793156401
"1121","2010","ruralPop",0.0554643201906301
"1121","2020","totPop",383.368689436708
"1121","2020","ruralPop",0.0542556608789753
"1121","2030","totPop",405.533630222112
"1121","2030","ruralPop",0
"1121","2040","totPop",422.563556664096
"1121","2040","ruralPop",0
"1121","2050","totPop",432.963517466944
"1121","2050","ruralPop",0
"1121","2060","totPop",436.603509103757
"1121","2060","ruralPop",0
