"ns","ks","value"
"12073","Soil3_Heavy",0
"12073","Soil4_Stony",0
"12073","MEANYLD",0
"12073","HI_MEAN",0
"12073","LI_MEAN",0
"12073","IR_MEAN",0
"12073","SS_MEAN",0
"12136","Intercept",1
"12136","Cropland",0
"12136","Forest",0
"12136","OtherLand",7.21532832210913
"12136","Pasture",3.8915239811156
"12136","Plantations",0
"12136","Urban",0.0135476967752687
"12136","MeanTemp",-3.08245
"12136","MeanPrecip",784.724
"12136","HarvWood",0
"12136","HarvCost",0
"12136","GRASYLD",6.833
"12136","meanTimeToMarket",372.845
"12136","totPop",2.51789503974677
"12136","ruralPop",1
"12136","Altitude",0
"12136","Slope",0
"12136","Soil2_Medium",1
"12136","Soil3_Heavy",0
"12136","Soil4_Stony",0
"12136","MEANYLD",0
"12136","HI_MEAN",0
"12136","LI_MEAN",0
"12136","IR_MEAN",0
"12136","SS_MEAN",0
"12137","Intercept",1
"12137","Cropland",0.00549153211850912
"12137","Forest",0
"12137","OtherLand",25.1474027998809
"12137","Pasture",13.3564556109484
"12137","Plantations",0
"12137","Urban",0.00941005705212848
"12137","MeanTemp",-3.08245
"12137","MeanPrecip",784.724
"12137","HarvWood",0
"12137","HarvCost",0
"12137","GRASYLD",5.023
"12137","meanTimeToMarket",331.486
"12137","totPop",2.36248518903516
"12137","ruralPop",0.824175824175824
"12137","Altitude",0
"12137","Slope",0
"12137","Soil2_Medium",1
"12137","Soil3_Heavy",0
"12137","Soil4_Stony",0
"12137","MEANYLD",0
"12137","HI_MEAN",0
"12137","LI_MEAN",0
"12137","IR_MEAN",0
"12137","SS_MEAN",0
"12138","Intercept",1
"12138","Cropland",0.00868617280344286
"12138","Forest",0
"12138","OtherLand",14.1196600778194
"12138","Pasture",7.64271548496516
"12138","Plantations",0
"12138","Urban",0.00785826441197001
"12138","MeanTemp",-3.08245
"12138","MeanPrecip",784.724
"12138","HarvWood",0
"12138","HarvCost",0
"12138","GRASYLD",5.138
"12138","meanTimeToMarket",396.952
"12138","totPop",38.4775737272555
"12138","ruralPop",1
"12138","Altitude",0
"12138","Slope",0
"12138","Soil2_Medium",1
"12138","Soil3_Heavy",0
"12138","Soil4_Stony",0
"12138","MEANYLD",0
"12138","HI_MEAN",0
"12138","LI_MEAN",0
"12138","IR_MEAN",0
"12138","SS_MEAN",0
"12140","Intercept",1
"12140","Cropland",0.00039336130639251
"12140","Forest",0
"12140","OtherLand",17.4444393799637
"12140","Pasture",9.4791162152227
"12140","Plantations",0
"12140","Urban",0.00790104350718621
